date,demand,promo,holiday,dow
2024-01-01,233.4,0,1,0
2024-01-02,184.16,0,0,1
2024-01-03,178.99,0,0,2
2024-01-04,163.43,0,0,3
2024-01-05,168.91,0,0,4
2024-01-06,199.55,0,0,5
2024-01-07,200.53,0,0,6
2024-01-08,177.04,0,0,0
2024-01-09,178.3,0,0,1
2024-01-10,184.32,0,0,2
2024-01-11,167.41,0,0,3
2024-01-12,182.95,0,0,4
2024-01-13,208.07,0,0,5
2024-01-14,196.48,0,0,6
2024-01-15,177.46,0,0,0
2024-01-16,181.32,0,0,1
2024-01-17,172.64,0,0,2
2024-01-18,200.67,0,0,3
2024-01-19,184.07,0,0,4
2024-01-20,211.06,0,0,5
2024-01-21,194.91,0,0,6
2024-01-22,181.39,0,0,0
2024-01-23,179.14,0,0,1
2024-01-24,170.08,0,0,2
2024-01-25,174.9,0,0,3
2024-01-26,190.24,0,0,4
2024-01-27,204.38,0,0,5
2024-01-28,210.1,0,0,6
2024-01-29,161.86,0,0,0
2024-01-30,177.78,0,0,1
2024-01-31,193.08,0,0,2
2024-02-01,161.07,0,0,3
2024-02-02,185.62,0,0,4
2024-02-03,211.62,0,0,5
2024-02-04,193.23,0,0,6
2024-02-05,183.05,0,0,0
2024-02-06,182.44,0,0,1
2024-02-07,233.87,1,0,2
2024-02-08,197.41,0,0,3
2024-02-09,184.41,0,0,4
2024-02-10,244.51,1,0,5
2024-02-11,200.46,0,0,6
2024-02-12,194.39,0,0,0
2024-02-13,193.57,0,0,1
2024-02-14,182.16,0,0,2
2024-02-15,203.98,0,0,3
2024-02-16,204.98,0,0,4
2024-02-17,234.93,0,0,5
2024-02-18,208.3,0,0,6
2024-02-19,179.99,0,0,0
2024-02-20,190.14,0,0,1
2024-02-21,194.35,0,0,2
2024-02-22,178.56,0,0,3
2024-02-23,171.53,0,0,4
2024-02-24,235.38,0,0,5
2024-02-25,227.61,0,0,6
2024-02-26,188.36,0,0,0
2024-02-27,204.91,0,0,1
2024-02-28,209.11,0,0,2
2024-02-29,205.62,0,0,3
2024-03-01,178.56,0,0,4
2024-03-02,206.39,0,0,5
2024-03-03,217.86,0,0,6
2024-03-04,207.13,0,0,0
2024-03-05,203.81,0,0,1
2024-03-06,194.15,0,0,2
2024-03-07,194.83,0,0,3
2024-03-08,196.77,0,0,4
2024-03-09,216.09,0,0,5
2024-03-10,231.49,0,0,6
2024-03-11,208.31,0,0,0
2024-03-12,194.49,0,0,1
2024-03-13,187.24,0,0,2
2024-03-14,210.24,0,0,3
2024-03-15,204.99,0,0,4
2024-03-16,204.9,0,0,5
2024-03-17,207.95,0,0,6
2024-03-18,194.89,0,0,0
2024-03-19,193.56,0,0,1
2024-03-20,202.94,0,0,2
2024-03-21,197.18,0,0,3
2024-03-22,200.71,0,0,4
2024-03-23,217.0,0,0,5
2024-03-24,215.79,0,0,6
2024-03-25,199.66,0,0,0
2024-03-26,193.52,0,0,1
2024-03-27,196.68,0,0,2
2024-03-28,203.28,0,0,3
2024-03-29,227.45,0,0,4
2024-03-30,217.13,0,0,5
2024-03-31,234.61,0,0,6
2024-04-01,200.08,0,0,0
2024-04-02,204.12,0,0,1
2024-04-03,182.01,0,0,2
2024-04-04,171.47,0,0,3
2024-04-05,210.77,0,0,4
2024-04-06,219.73,0,0,5
2024-04-07,256.61,1,0,6
2024-04-08,183.23,0,0,0
2024-04-09,207.42,0,0,1
2024-04-10,190.7,0,0,2
2024-04-11,184.72,0,0,3
2024-04-12,183.14,0,0,4
2024-04-13,220.48,0,0,5
2024-04-14,225.38,0,0,6
2024-04-15,196.89,0,0,0
2024-04-16,241.87,1,0,1
2024-04-17,209.2,0,0,2
